POS Product Type,POS Product ID,POS Product Name,POS Product Status,POS Product Group ID,POS Product Group Name,Product ID,Product Name,Product Status,Action Type
generic,V. SIROP FRAISE,V. SIROP FRAISE,disabled,,,65588f43-3335-4010-ab6e-89292c1e1bb9,SIROP. FRAISE,enabled,increase
generic,V. AVION REPOSADO,V. AVION REPOSADO,disabled,,,bb7a7ffa-94eb-42eb-9ee7-9ddcac94e23c,V. AVION REPOSADO,enabled,increase
generic,GIN FIZZ,GIN FIZZ,enabled,,,53c5e3ea-4fc5-4531-b08e-b57ab31c881c,GIN FIZZ,enabled,increase
generic,TARTE CITRON MERINGUE,TARTE CITRON MERINGUE,disabled,,,,,,none
generic,DIVERS PRIVATISATION,DIVERS PRIVATISATION,enabled,,,,,,none
generic,B. PESSAC- LEOGNAN CUVEE PAUL RGE,B. PESSAC- LEOGNAN CUVEE PAUL RGE,enabled,,,07d8caa7-706d-4af5-bbdf-4744781d4a99,"B._ Pessac-Leognan_ ""Cuvée Paul"", Château Haut-Bergey_RGE_75CL",enabled,increase
generic,OEUF A LA NEIGE,OEUF A LA NEIGE,disabled,,,,,,none
generic,JAMAICAN MULE,JAMAICAN MULE,enabled,,,8e635dc4-3fd2-47b0-b4c1-e626f6b609f9,CARRIBEAN MULE,enabled,increase
generic,B. GIVRY 1ER CLOS CELLIER AUX MOINES RGE,B. GIVRY 1ER CLOS CELLIER AUX MOINES RGE,disabled,,,68e96cfb-f87e-4921-aa69-4cbca7a0f8e9,"B. BOURGOGNE GIVRY 1ER CRU ""Clos du Cellier aux Moines"" DOM. THENARD RGE 75CL",enabled,increase
generic,MILLES-FEUILLES VANILLE,MILLE-FEUILLES VANILLE,disabled,,,,,,none
generic,CAFÉ MENU,CAFÉ MENU,enabled,,,3758e5b0-77d7-4bb6-87e5-e997578a2393,CAFE ORMEAU,enabled,increase
generic,MANHATTAN,MANHATTAN,enabled,,,e6e3c5f4-fe2f-4802-bfce-c60b944447fd,MANHATTAN BLACK LABEL,enabled,increase
generic,SHOT CHARTREUSE VERTE,SHOT CHARTREUSE VERTE,enabled,,,9ff0774d-780d-4e2b-8e3d-44de4208c645,S. CHARTREUSE VERTE 3CL,enabled,increase
generic,B. SCREAMING EAGLE RGE 2014,B. SCREAMING EAGLE RGE 2014,enabled,,,dfb87707-4a51-40fd-b386-8645251dd8a6,B._Napa Valley_ Screaming Eagle_RGE_75CL,enabled,increase
generic,S. VODKA GET27,S. VODKA GET 27,disabled,,,3c4222ff-1faa-4e08-aed7-14a92d5eccc5,S. VODKA GET 3CL,enabled,increase
generic,DEMI AFFLIGEM BLANCHE,DEMI AFFLIGEM BLANCHE,disabled,,,8b33e394-e6e0-4f94-8ebb-97bab3353f29,DEMI AFFLIGEM BLANCHE,enabled,increase
generic,PACK X4 GINGER BEER,PACK X4 GINGER BEER,disabled,,,,,,none
generic,EVIAN,EVIAN,disabled,,,a5a0a2f0-c895-40cf-9cbc-d2c70ab60e54,B. EVIAN VP 75CL,enabled,increase
generic,EXPRESSO SERRE,EXPRESSO SERRE,enabled,,,3758e5b0-77d7-4bb6-87e5-e997578a2393,CAFE ORMEAU,enabled,increase
generic,GRAVLAX SAUMON,GRAVLAX SAUMON,disabled,,,,,,none
generic,V. HENNESSY VSOP,V. HENNESSY VSOP,disabled,,,7567418c-88ae-4352-baba-88066cb57d96,V. HENNESSY VSOP,enabled,increase
generic,BLINIS SAUMON,BLINIS SAUMON,enabled,,,,,,none
generic,AVOINE,AVOINE,enabled,,,,,,none
generic,B. SCHWEPPES TONIC 33CL,B. SCHWEPPES TONIC 33CL,disabled,,,,,,none
generic,V. JW RED,V. JW RED,disabled,,,cfae323d-c599-46f4-b787-a7d1c41b4e56,V. JW RED,enabled,increase
generic,B. LES QUATRE PILLIERS BLC,B. LES QUATRE PILLIERS BLC,enabled,,,0c3c0cae-7e2c-45b0-9ba3-2b0e3626be3d,"B. LOIRE VAL DE LOIRE IGP ""Chapitre 1, Première Cuvée"", LES QUATRES PILLIERS BLC 75CL",enabled,increase
generic,B. DON JULIO REPOSADO,B. DON JULIO REPOSADO,disabled,,,b6a7b16e-d253-4276-b470-95b161d3f1ec,DON JULIO REPOSADO,enabled,increase
generic,MAG. SANCERRE DOM VACHERON RGE,MAG. SANCERRE DOM VACHERON RGE,enabled,,,8d63c844-5702-4a0e-9730-2f409763409a,M. LOIRE SANCERRE DOMAINE VACHERON RGE 150CL,enabled,increase
generic,FILET DE TURBOT,FILET DE TURBOT,disabled,,,,,,none
generic,B. LE GALLET BLANC COTE-ROTIE RGE,B. LE GALLET BLANC COTE-ROTIE RGE,enabled,,,a27c3a8e-5bfc-4dab-b747-c958486fdcda,"B. RHONE COTE ROTIE ""Le Gallet Blanc"" DOM. FRANÇOIS VILLARD RGE 75CL",enabled,increase
generic,PUREE TRUFFE,PUREE TRUFFE,enabled,,,,,,none
generic,S. ALTOS REPOSADO,S. ALTOS REPOSADO,disabled,,,066a0db6-d4df-4124-a439-ce7831a35c02,V. ALTOS REPOSADO,enabled,increase
generic,CREME BRULEE,CREME BRULEE,disabled,,,,,,none
generic,AMERICAIN,AMERICAIN,disabled,,,,,,none
generic,PAIN PERDU,PAIN PERDU,disabled,,,,,,none
generic,FRAISE MELBA,FRAISE MELBA,disabled,,,,,,none
generic,COEUR DE ROMAINE,COEUR DE ROMAINE,disabled,,,,,,none
generic,B. CROZES ROUGE GRAILLOT,B. CROZES ROUGE GRAILLOT,enabled,,,f5a58bc2-4798-46ec-b0b6-836cde1ae8aa,B._Crozes-Hermitage_Alain Graillot_RGE_75CL,enabled,increase
generic,TOUTOU BAR,TOUTOU BAR,disabled,,,,,,none
generic,CROQUE TRUFFE,CROQUE TRUFFE,enabled,,,,,,none
generic,B. POMMARD VIELLE VIGNES JOILLOT RGE,B. POMMARD VIELLE VIGNES JOILLOT RGE,disabled,,,f840f82c-17dc-49b2-8c91-286cf8b28429,"B._ Pommard_""Vieilles Vignes"", Domaine Georges Joillot_RGE_75CL",enabled,increase
generic,V. CUVEE PAUL CH HAUT-BERGEY,V. CUVEE PAUL CH HAUT-BERGEY,enabled,,,c42af21d-cfa3-40ab-ba04-83c252d8baaa,V. PESSAC LEOGNAN HAUT BERGEY,enabled,increase
generic,LIBRAIRIE,LIBRAIRIE,disabled,,,,,,none
generic,CHOCOLAT FRAPPE,CHOCOLAT FRAPPE,disabled,,,,,,none
generic,B. DOM. LA MAIONETTE BLC,B. DOM. LA MAIONETTE BLC,disabled,,,3eccc378-04cf-4b32-8fae-34afd5c2c4c2,B._ IGP Méditérranée_  Domaine la Maïonnette_BLC_75CL,enabled,increase
